emotion,question,intent
Feeling Down,I need something comforting.,healing
Feeling Down,Do you have a comforting drama recommendation?,healing
Feeling Down,Can you suggest comforting dramas?,healing
Feeling Down,I'm looking for comforting dramas. Any recommendations?,healing
Feeling Down,I need comforting series to help me relax. Any ideas?,healing
Feeling Down,I want something calm and emotional.,calm
Feeling Down,Can you suggest something calm and emotional?,calm
Feeling Down,What are some calm and emotional series to watch?,calm
Feeling Down,I'm looking for something calm and emotional.,calm
Feeling Down,I want something emotional.,emotional
Feeling Down,Anything that helps when I feel low?,emotional
Feeling Down,Can you recommend something to lift my mood?,feel-good
Feeling Down,I want something that can make me feel better.,feel-good
Feeling Down,Can you recommend something that can cheer me up?,feel-good
Feeling Down,Any uplifting shows you recommend?,feel-good
Feeling Down,I think a good cry might help.,cathartic
Feeling Down,Can you recommend a drama that’ll really make me cry?,cathartic
Feeling Down,I feel like I just need to let it all out. Any tearjerkers?,cathartic
Feeling Down,I want something super emotional that’ll help me release some feelings.,cathartic
Feeling Down,I’m in the mood for a drama that hits hard emotionally. Got any?,cathartic
Feeling Down,I want to release some emotions.,cathartic
Feeling Down,I just want a drama that makes me cry. Got any?,cathartic
Feeling Down,Can you suggest something that helps when I feel heavy inside?,cathartic
Feeling Down,I feel a bit stuck. Anything emotional to watch?,cathartic
Feeling Down,I need something that lets me feel and maybe cry a little.,cathartic
Feeling Down,I need something to quietly sink into.,slow-burn
Feeling Down,Any drama that’s quiet and easy to get into?,slow-burn
Feeling Down,I’m looking for something slow and peaceful to watch.,calming
Feeling Down,Can you recommend a calm and beautiful series?,calming
Feeling Down,I want something that feels slow and thoughtful.,introspective
Tired & Drained,I’m looking for something easy to watch.,light
Tired & Drained,Any light shows that don’t take much energy to follow?,light
Tired & Drained,I just want something simple and relaxing to watch.,light
Tired & Drained,What’s a feel-good drama I can watch without thinking too much?,feel-good
Tired & Drained,I’m too tired for anything heavy. Got a chill drama to recommend?,light
Tired & Drained,Any healing stories for when I’m drained?,healing
Tired & Drained,Can you recommend something that feels comforting to watch?,healing
Tired & Drained,I need a drama that helps me feel a little better.,healing
Tired & Drained,What’s a soothing story to help me relax right now?,healing
Tired & Drained,I’m feeling drained. Any gentle dramas that might help?,healing
Tired & Drained,Recommend something I don’t have to think about.,light
Tired & Drained,Got any shows I can just zone out to?,light
Tired & Drained,I want something fun and easy. Nothing too deep.,light
Tired & Drained,What’s a chill drama I can just enjoy without thinking?,light
Tired & Drained,I’m too tired to focus. Anything light and simple?,light
Tired & Drained,I’m too tired. Just want something light.,light
Tired & Drained,"I just need an easy, feel-good drama right now.",feel-good
Tired & Drained,Any lighthearted shows to help me unwind?,light
Tired & Drained,I’m exhausted. What’s something fun and low-effort to watch?,light
Tired & Drained,Looking for something relaxing and cheerful to end the day.,cheerful
Tired & Drained,"I like slow, everyday kind of dramas.",slice of life
Tired & Drained,I enjoy calm stories about everyday life. Any suggestions?,slice of life
Tired & Drained,Got any slow-paced dramas that feel real and relatable?,slice of life
Tired & Drained,"I’m into simple, everyday moments. What should I watch?",slice of life
Tired & Drained,"I’d love something that slowly pulls me in, nothing too dramatic.",slice of life
Tired & Drained,I want to unwind with something simple and bright.,light
Tired & Drained,What’s a light and cheerful drama to help me relax?,cheerful
Tired & Drained,I just want something happy and easy to watch. Any ideas?,light
Tired & Drained,"Looking for a simple, feel-good show to lift my mood.",feel-good
Tired & Drained,Anything bright and positive to unwind with?,feel-good
Feeling Love,I’m in the mood for a sweet romance.,sweet romance
Feeling Love,Any feel-good love stories you recommend?,sweet romance
Feeling Love,I want to watch a cute and heartwarming romance.,sweet romance
Feeling Love,Looking for something sweet and romantic to enjoy.,sweet romance
Feeling Love,What’s a nice romance drama to lift my mood?,sweet romance
Feeling Love,Recommend something with heart-fluttering moments.,heart-fluttering
Feeling Love,Any dramas with cute romantic moments that make your heart race?,heart-fluttering
Feeling Love,I’m in the mood for a drama with lots of sweet chemistry.,heart-fluttering
Feeling Love,What should I watch if I want that butterflies-in-the-stomach feeling?,heart-fluttering
Feeling Love,"Recommend a love story that’s full of flirty, feel-good moments.",heart-fluttering
Feeling Love,Love stories really lift my mood these days.,sweet romance
Feeling Love,I’d love a romantic drama that puts me in a good mood.,sweet romance
Feeling Love,Any cheerful love stories that can brighten my day?,sweet romance
Feeling Love,I’m looking for something sweet and uplifting to watch.,sweet romance
Feeling Love,Got any feel-good romance dramas that boost your mood?,sweet romance
Feeling Love,"I like slow-burning, gentle relationships.",slow-burn romance
